Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cyprus,Land area,Total,km squared,"  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 ","  9,251 "
Cyprus,Population,Total,###,"  862,011 ","  865,878 ","  858,000 ","  847,008 ","  848,319 ","  854,802 ","  864,236 ","  875,899 ","  888,005 ","  896,007 ","  904,705 "
Cyprus,Households,Total,###,"  307,861 ","  309,242 ","  306,429 ","  302,503 ","  302,971 ","  305,286 ","  312,084 ","  312,821 ","  314,195 ","  317,027 ","  320,104 "
Cyprus,Broadband coverage (>2Mbps),Total,Households,"  306,229 ","  309,149 ","  306,337 ","  302,397 ","  302,865 ","  305,210 ","  312,006 ","  312,743 ",#N/A,#N/A,#N/A
Cyprus,Broadband coverage (>30Mbps),Total,Households,"  211,501 ","  214,305 ","  213,887 ","  236,255 ","  236,620 ","  256,364 ","  312,006 ","  312,727 ","  314,195 ","  317,027 ","  320,104 "
Cyprus,Broadband coverage (>100Mbps),Total,Households,"  134,535 ","  136,376 ","  136,667 ","  135,521 ","  136,347 ","  192,173 ","  221,677 ","  246,672 ","  260,598 ","  275,591 ","  296,224 "
Cyprus,Broadband coverage (>1Gbps),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  31,661 ","  81,913 ","  130,178 ","  190,216 ","  246,704 "
Cyprus,Broadband coverage (>1Gbps upload and download),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,Fixed broadband coverage,Total,Households,"  307,846 ","  309,227 ","  306,413 ","  302,488 ","  302,956 ","  305,286 ","  312,084 ","  312,821 ","  314,195 ","  317,027 ","  320,104 "
Cyprus,NGA coverage,Total,Households,"  237,053 ","  247,744 ","  257,400 ","  264,690 ","  265,100 ","  274,758 ","  312,084 ","  312,821 ","  314,195 ","  317,027 ","  320,104 "
Cyprus,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  31,661 ","  81,913 ","  130,178 ","  190,216 ","  246,704 "
Cyprus,VHCN coverage (as defined by BEREC),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  246,704 "
Cyprus,DSL,Total,Households,"  307,830 ","  309,211 ","  306,398 ","  302,473 ","  302,941 ","  305,286 ","  312,084 ","  312,821 ","  314,195 ","  317,027 ","  320,104 "
Cyprus,VDSL,Total,Households,"  166,245 ","  186,245 ","  208,371 ","  226,877 ","  227,228 ","  244,229 ","  312,084 ","  312,821 ","  314,195 ","  317,027 ","  320,104 "
Cyprus,VDSL 2 Vectoring,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  120,588 ","  146,108 ","  136,592 ","  103,356 ","  68,886 "
Cyprus,FTTP,Total,Households,  - ,  - ,  - ,  - ,  - ,"  1,526 ","  31,661 ","  81,913 ","  130,178 ","  190,216 ","  246,704 "
Cyprus,Cable modem DOCSIS 3.0,Total,Households,"  122,529 ","  135,448 ","  135,441 ","  135,521 ","  136,347 ","  160,881 ","  173,222 ","  180,680 ","  207,000 ","  160,440 ","  189,000 "
Cyprus,Cable modem DOCSIS 3.1,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,  - ,  - ,  - ,  - 
Cyprus,FWA,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,"  277,785 ","  279,000 ","  316,075 ","  318,823 "
