Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Croatia,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.7%,10.7%,
Croatia,Fixed broadband coverage,Total,% of Households,96.1%,96.6%,96.9%,97.0%,99.3%,99.9%,99.9%,99.9%,99.9%,99.0%,99.1%,
Croatia,NGA coverage,Total,% of Households,33.3%,47.5%,52.0%,59.9%,67.6%,82.7%,85.6%,86.3%,87.8%,88.1%,89.0%,
Croatia,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.2%,46.5%,52.3%,61.5%,67.8%,
Croatia,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Croatia,DSL,Total,% of Households,94.3%,94.6%,94.7%,94.9%,98.8%,99.7%,99.7%,99.8%,99.7%,98.1%,98.0%,
Croatia,VDSL,Total,% of Households,16.8%,31.4%,35.9%,44.2%,58.2%,76.9%,80.8%,81.1%,78.2%,78.1%,77.9%,
Croatia,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.4%,10.0%,11.3%,12.1%,13.9%,
Croatia,FTTP,Total,% of Households,6.9%,8.8%,10.1%,15.6%,17.8%,23.4%,31.0%,35.6%,38.7%,53.9%,62.1%,
Croatia,Cable modem DOCSIS 3.0,Total,% of Households,19.0%,21.8%,23.0%,26.9%,28.3%,32.3%,34.1%,35.7%,36.3%,35.1%,34.6%,
Croatia,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32.5%,34.0%,34.5%,33.3%,32.9%,
Croatia,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.9%,5.4%,4.4%,38.4%,44.5%,
Croatia,LTE,Total,% of Households,24.4%,58.1%,68.9%,90.1%,94.8%,97.6%,99.3%,99.5%,99.5%,99.0%,#N/A,
Croatia,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,66.7%,73.3%,94.4%,98.2%,98.3%,98.8%,#N/A,#N/A,
Croatia,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,33.8%,82.5%,83.4%,
Croatia,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.2%,40.0%,
Croatia,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Croatia,Overall broadband coverage,Total,% of Households,97.6%,99.0%,99.1%,99.6%,99.7%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Croatia,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,34.6%,39.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Croatia,Cable modem,Total,% of Households,20.8%,23.2%,24.9%,26.9%,28.3%,32.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Croatia,WiMAX,Total,% of Households,0.1%,2.0%,2.0%,0.0%,0.2%,0.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
Croatia,HSPA,Total,% of Households,93.9%,97.7%,98.0%,99.2%,99.4%,99.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Cyprus,Land area,Total,km squared,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,925100.0%,
Cyprus,Population,Total,###,86201100.0%,86587800.0%,85800000.0%,84700800.0%,84831900.0%,85480200.0%,86423600.0%,87589900.0%,88800500.0%,89600700.0%,90470500.0%,
Cyprus,Households,Total,###,30786099.8%,30924214.3%,30642857.1%,30250285.7%,30297107.1%,30528642.9%,31208376.4%,31282107.1%,31419530.5%,31702658.5%,32010412.5%,
Cyprus,Broadband coverage (>2Mbps),Total,% of Households,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,
Cyprus,Broadband coverage (>30Mbps),Total,% of Households,68.7%,69.3%,69.8%,78.1%,78.1%,84.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Cyprus,Broadband coverage (>100Mbps),Total,% of Households,43.7%,44.1%,44.6%,44.8%,45.0%,62.9%,71.0%,78.9%,82.9%,86.9%,92.5%,
Cyprus,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.1%,26.2%,41.4%,60.0%,77.1%,
Cyprus,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Cyprus,Fixed broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Cyprus,NGA coverage,Total,% of Households,77.0%,80.1%,84.0%,87.5%,87.5%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Cyprus,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.1%,26.2%,41.4%,60.0%,77.1%,
Cyprus,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77.1%,
Cyprus,DSL,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Cyprus,VDSL,Total,% of Households,54.0%,60.2%,68.0%,75.0%,75.0%,80.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Cyprus,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.6%,46.7%,43.5%,32.6%,21.5%,
Cyprus,FTTP,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,10.1%,26.2%,41.4%,60.0%,77.1%,
Cyprus,Cable modem DOCSIS 3.0,Total,% of Households,39.8%,43.8%,44.2%,44.8%,45.0%,52.7%,55.5%,57.8%,65.9%,50.6%,59.0%,
Cyprus,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Cyprus,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,88.8%,88.8%,99.7%,99.6%,
Cyprus,LTE,Total,% of Households,0.0%,0.0%,60.2%,74.3%,88.0%,97.2%,99.6%,99.6%,99.5%,99.5%,#N/A,
Cyprus,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,64.2%,77.3%,94.0%,98.0%,98.3%,98.3%,#N/A,#N/A,
Cyprus,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,75.0%,100.0%,100.0%,
Cyprus,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.0%,35.0%,
Cyprus,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Cyprus,Overall broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Cyprus,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,45.0%,52.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Cyprus,Cable modem,Total,% of Households,39.8%,43.8%,44.2%,44.8%,45.0%,52.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Cyprus,WiMAX,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Cyprus,HSPA,Total,% of Households,99.0%,99.0%,99.0%,99.0%,99.6%,99.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Czechia,Land area,Total,km squared,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,7886700.0%,
Czechia,Population,Total,###,1050928600.0%,1051612500.0%,1051241900.0%,1053827500.0%,1055384300.0%,1057882000.0%,1061005500.0%,1064980000.0%,1069393900.0%,1070177700.0%,1082752900.0%,
Czechia,Households,Total,###,437886800.0%,438172014.4%,438017597.7%,439094931.4%,439743598.3%,440784306.9%,443120407.4%,421896609.0%,423734776.8%,424131155.9%,481310300.0%,
Czechia,Broadband coverage (>2Mbps),Total,% of Households,96.1%,96.1%,96.1%,95.6%,96.1%,96.0%,97.4%,99.8%,#N/A,#N/A,#N/A,
Czechia,Broadband coverage (>30Mbps),Total,% of Households,50.6%,60.4%,72.7%,73.9%,88.6%,89.8%,91.9%,96.9%,98.1%,98.3%,98.2%,
Czechia,Broadband coverage (>100Mbps),Total,% of Households,38.6%,39.4%,43.3%,44.5%,55.9%,58.2%,75.0%,86.4%,89.2%,90.2%,91.1%,
Czechia,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.4%,7.6%,38.1%,42.5%,40.3%,
Czechia,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.5%,
Czechia,Fixed broadband coverage,Total,% of Households,97.5%,97.5%,97.6%,98.7%,98.4%,97.7%,97.4%,99.8%,99.9%,99.9%,99.6%,
Czechia,NGA coverage,Total,% of Households,63.7%,68.7%,72.9%,75.1%,88.6%,89.8%,91.9%,91.8%,92.6%,93.3%,88.4%,
Czechia,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.3%,33.3%,52.5%,53.2%,50.5%,
Czechia,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.6%,
Czechia,DSL,Total,% of Households,93.0%,93.0%,93.1%,92.2%,93.1%,92.9%,94.9%,96.1%,97.6%,97.6%,91.0%,
Czechia,VDSL,Total,% of Households,41.0%,45.7%,52.0%,53.1%,77.4%,79.6%,83.7%,83.7%,84.7%,86.1%,81.8%,
Czechia,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,82.9%,83.7%,84.6%,86.0%,81.7%,
Czechia,FTTP,Total,% of Households,13.4%,13.9%,17.3%,21.0%,25.9%,28.3%,29.3%,33.3%,35.8%,37.4%,36.0%,
Czechia,Cable modem DOCSIS 3.0,Total,% of Households,31.5%,31.9%,33.3%,37.7%,38.8%,41.5%,41.1%,41.6%,41.9%,42.1%,38.5%,
Czechia,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,33.3%,34.9%,32.2%,
Czechia,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.1%,69.5%,81.4%,85.1%,80.5%,
Czechia,LTE,Total,% of Households,12.0%,91.9%,93.8%,99.4%,99.4%,99.4%,99.8%,99.8%,99.8%,100.0%,#N/A,
Czechia,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,94.3%,98.8%,99.1%,99.6%,99.7%,99.5%,#N/A,#N/A,
Czechia,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,49.4%,82.6%,94.6%,
